Index,Radio Visibility,Radio Position,Radius,Inclination
0,ON,3,0,0
1,ON,2,0,90
2,ON,2,0,270
3,ON,2,1,90
4,ON,2,1,270
5,ON,2,3,90
6,ON,2,3,270
7,ON,3,0,90
8,ON,3,0,270
9,ON,3,1,90
10,ON,3,1,270
11,ON,3,3,90
12,ON,3,3,270
13,ON,4,0,90
14,ON,4,0,270
15,ON,4,1,90
16,ON,4,1,270
17,ON,4,3,90
18,ON,4,3,270
19,OFF,2,0,90
20,OFF,2,0,270
21,OFF,2,1,90
22,OFF,2,1,270
23,OFF,2,3,90
24,OFF,2,3,270
25,OFF,3,0,90
26,OFF,3,0,270
27,OFF,3,1,90
28,OFF,3,1,270
29,OFF,3,3,90
30,OFF,3,3,270
31,OFF,4,0,90
32,OFF,4,0,270
33,OFF,4,1,90
34,OFF,4,1,270
35,OFF,4,3,90
36,OFF,4,3,270
